chinese_word,english_translation,chinese_sentence,english_sentence
撞,to hit to strike to meet by accident to run into to,这个撞很贵。,This to hit to strike to meet by accident to run into to is expensive.
准确,accurate exact precise,这个准确很好。,This accurate exact precise is good.
桌子,table desk 套[tào],这个桌子很贵。,This table desk 套[tào] is expensive.
字,letter symbol character word,我有一个字。,I have a letter symbol character word.
字典,dictionary character dictionary,这个字典很贵。,This dictionary character dictionary is expensive.
自己,self  own,这个自己很漂亮。,This self  own is beautiful.
自然,nature natural naturally,这个自然很好。,This nature natural naturally is good.
走,to walk to go to run to move  to,这个走很贵。,This to walk to go to run to move  to is expensive.
租,to hire to rent to charter to rent out to lease out,这个租很贵。,This to hire to rent to charter to rent out to lease out is expensive.
嘴,mouth beak spout  CL:張|,这个嘴很贵。,This mouth beak spout  CL:張| is expensive.
最,most the most -est,这个最很漂亮。,This most the most -est is beautiful.
最好,best  had better,我有一个最好。,I have a best  had better.
最后,final last finally ultimate,我喜欢这个最后。,I like this final last finally ultimate.
最近,recent recently these days latest soon nearest,这个最近很贵。,This recent recently these days latest soon nearest is expensive.
尊重,esteem respect to honor to value sth,这个尊重很贵。,This esteem respect to honor to value sth is expensive.
昨天,yesterday,我有一个昨天。,I have a yesterday.
坐,to sit to take a seat to take  to,这个坐很贵。,This to sit to take a seat to take  to is expensive.
做,to do to make to produce to write to compose,这个做很好。,This to do to make to produce to write to compose is good.
做生意,to do business,这个做生意很贵。,This to do business is expensive.
座,seat base stand  classifier for,这个座很贵。,This seat base stand  classifier for is expensive.
座位,seat,我有一个座位。,I have a seat.
作用,to act on to affect action function activity,这个作用很漂亮。,This to act on to affect action function activity is beautiful.
作者,author writer,我有一个作者。,I have a author writer.
